api_full_name,coverage_scope,python_statement_percent,python_branch_percent,python_covered_lines,python_coverable_lines,native_line_percent,native_covered_lines,native_coverable_lines,native_branch_percent,native_function_percent,python_json_path,native_json_path,python_export_error,native_export_error,worker_exit_code,worker_timeout,init_json_path,results_json_path
jax.interpreters.mlir.ir.np.roll,python,0.0006705918643795014,0.0,1,115252,,,,,,stage4/results/jax-thesis-all-coverage/coverage_reports/per_api/python/jax.interpreters.mlir.ir.np.roll/coverage.json,,,,0,False,json2init/results/jax/jax.interpreters.mlir.ir.np.roll.init.json,stage4/results/jax-thesis-all-coverage/execution_results/jax.interpreters.mlir.ir.np.roll.results.json
jax.interpreters.mlir.ir.np.roots,python,0.0006705918643795014,0.0,1,115252,,,,,,stage4/results/jax-thesis-all-coverage/coverage_reports/per_api/python/jax.interpreters.mlir.ir.np.roots/coverage.json,,,,0,False,json2init/results/jax/jax.interpreters.mlir.ir.np.roots.init.json,stage4/results/jax-thesis-all-coverage/execution_results/jax.interpreters.mlir.ir.np.roots.results.json
jax.interpreters.mlir.ir.np.rot90,python,0.0006705918643795014,0.0,1,115252,,,,,,stage4/results/jax-thesis-all-coverage/coverage_reports/per_api/python/jax.interpreters.mlir.ir.np.rot90/coverage.json,,,,0,False,json2init/results/jax/jax.interpreters.mlir.ir.np.rot90.init.json,stage4/results/jax-thesis-all-coverage/execution_results/jax.interpreters.mlir.ir.np.rot90.results.json
jax.interpreters.mlir.ir.np.row_stack,python,0.0006705918643795014,0.0,1,115252,,,,,,stage4/results/jax-thesis-all-coverage/coverage_reports/per_api/python/jax.interpreters.mlir.ir.np.row_stack/coverage.json,,,,0,False,json2init/results/jax/jax.interpreters.mlir.ir.np.row_stack.init.json,stage4/results/jax-thesis-all-coverage/execution_results/jax.interpreters.mlir.ir.np.row_stack.results.json
jax.interpreters.mlir.ir.np.select,python,0.0006705918643795014,0.0,1,115252,,,,,,stage4/results/jax-thesis-all-coverage/coverage_reports/per_api/python/jax.interpreters.mlir.ir.np.select/coverage.json,,,,0,False,json2init/results/jax/jax.interpreters.mlir.ir.np.select.init.json,stage4/results/jax-thesis-all-coverage/execution_results/jax.interpreters.mlir.ir.np.select.results.json
jax.interpreters.mlir.ir.np.setbufsize,python,0.0006705918643795014,0.0,1,115252,,,,,,stage4/results/jax-thesis-all-coverage/coverage_reports/per_api/python/jax.interpreters.mlir.ir.np.setbufsize/coverage.json,,,,0,False,json2init/results/jax/jax.interpreters.mlir.ir.np.setbufsize.init.json,stage4/results/jax-thesis-all-coverage/execution_results/jax.interpreters.mlir.ir.np.setbufsize.results.json
jax.interpreters.mlir.ir.np.shape,python,0.0006705918643795014,0.0,1,115252,,,,,,stage4/results/jax-thesis-all-coverage/coverage_reports/per_api/python/jax.interpreters.mlir.ir.np.shape/coverage.json,,,,0,False,json2init/results/jax/jax.interpreters.mlir.ir.np.shape.init.json,stage4/results/jax-thesis-all-coverage/execution_results/jax.interpreters.mlir.ir.np.shape.results.json
jax.interpreters.mlir.ir.np.sinc,python,0.0006705918643795014,0.0,1,115252,,,,,,stage4/results/jax-thesis-all-coverage/coverage_reports/per_api/python/jax.interpreters.mlir.ir.np.sinc/coverage.json,,,,0,False,json2init/results/jax/jax.interpreters.mlir.ir.np.sinc.init.json,stage4/results/jax-thesis-all-coverage/execution_results/jax.interpreters.mlir.ir.np.sinc.results.json
jax.interpreters.mlir.ir.np.sort,python,0.0006705918643795014,0.0,1,115252,,,,,,stage4/results/jax-thesis-all-coverage/coverage_reports/per_api/python/jax.interpreters.mlir.ir.np.sort/coverage.json,,,,0,False,json2init/results/jax/jax.interpreters.mlir.ir.np.sort.init.json,stage4/results/jax-thesis-all-coverage/execution_results/jax.interpreters.mlir.ir.np.sort.results.json
jax.interpreters.mlir.ir.np.split,python,0.0006705918643795014,0.0,1,115252,,,,,,stage4/results/jax-thesis-all-coverage/coverage_reports/per_api/python/jax.interpreters.mlir.ir.np.split/coverage.json,,,,0,False,json2init/results/jax/jax.interpreters.mlir.ir.np.split.init.json,stage4/results/jax-thesis-all-coverage/execution_results/jax.interpreters.mlir.ir.np.split.results.json
