api_full_name,status,rounds,repair_model_used,signature_found,param_count,required_param_count,supported_param_count,stage3_preview_ready,errors,warnings,stage3_preview_reasons,json_path
tensorflow.io.decode_jpeg,pass,1,deterministic,False,8,1,8,True,,,,info2json/results/tensorflow/tensorflow.io.decode_jpeg.json
tensorflow.io.decode_jxl,pass,1,deterministic,False,3,1,3,True,,,,info2json/results/tensorflow/tensorflow.io.decode_jxl.json
tensorflow.io.decode_png,pass,1,deterministic,False,3,1,3,True,,,,info2json/results/tensorflow/tensorflow.io.decode_png.json
tensorflow.io.decode_proto,pass,1,deterministic,False,8,4,8,True,,,,info2json/results/tensorflow/tensorflow.io.decode_proto.json
tensorflow.io.decode_raw,pass_with_warnings,1,deterministic,True,5,4,5,False,,required param 'little_endian' missing type | stage3 preview not ready: required param 'little_endian' unresolved: unhandled chosen type: whether the `input_bytes` data is in little-endian format. data will be converted into host byte order if necessary.,required param 'little_endian' unresolved: unhandled chosen type: whether the `input_bytes` data is in little-endian format. data will be converted into host byte order if necessary.,info2json/results/tensorflow/tensorflow.io.decode_raw.json
tensorflow.io.decode_webp,pass,1,deterministic,False,3,1,3,True,,,,info2json/results/tensorflow/tensorflow.io.decode_webp.json
tensorflow.io.encode_base64,pass,1,deterministic,False,3,1,3,True,,,,info2json/results/tensorflow/tensorflow.io.encode_base64.json
tensorflow.io.encode_jpeg,pass,1,deterministic,False,11,1,11,True,,,,info2json/results/tensorflow/tensorflow.io.encode_jpeg.json
tensorflow.io.encode_png,pass,1,deterministic,False,3,1,3,True,,,,info2json/results/tensorflow/tensorflow.io.encode_png.json
tensorflow.io.encode_proto,pass,1,deterministic,False,6,4,6,True,,,,info2json/results/tensorflow/tensorflow.io.encode_proto.json
tensorflow.io.extract_jpeg_shape,pass,1,deterministic,False,3,1,3,True,,,,info2json/results/tensorflow/tensorflow.io.extract_jpeg_shape.json
tensorflow.io.gfile.glob,pass,1,deterministic,False,1,1,1,True,,,,info2json/results/tensorflow/tensorflow.io.gfile.glob.json
tensorflow.io.is_jpeg,pass,1,deterministic,False,2,1,2,True,,,,info2json/results/tensorflow/tensorflow.io.is_jpeg.json
tensorflow.io.matching_files,pass_with_warnings,1,deterministic,False,2,2,2,False,,required param 'name' missing type | stage3 preview not ready: required param 'name' unresolved: unhandled chosen type: a name for the operation (optional).,required param 'name' unresolved: unhandled chosen type: a name for the operation (optional).,info2json/results/tensorflow/tensorflow.io.matching_files.json
tensorflow.io.parse_sequence_example,pass,1,deterministic,False,5,3,5,True,,,,info2json/results/tensorflow/tensorflow.io.parse_sequence_example.json
tensorflow.io.parse_single_sequence_example,pass,1,deterministic,False,5,3,5,True,,,,info2json/results/tensorflow/tensorflow.io.parse_single_sequence_example.json
tensorflow.io.parse_tensor,pass,1,deterministic,False,3,2,3,True,,,,info2json/results/tensorflow/tensorflow.io.parse_tensor.json
tensorflow.irfftnd,pass,1,deterministic,False,5,3,5,True,,,,info2json/results/tensorflow/tensorflow.irfftnd.json
tensorflow.keras.activations.relu,pass,1,deterministic,False,4,1,4,True,,,,info2json/results/tensorflow/tensorflow.keras.activations.relu.json
tensorflow.keras.activations.sparsemax,pass,1,deterministic,False,2,1,2,True,,,,info2json/results/tensorflow/tensorflow.keras.activations.sparsemax.json
tensorflow.keras.applications.convnext.decode_predictions,pass,1,deterministic,False,2,2,2,True,,,,info2json/results/tensorflow/tensorflow.keras.applications.convnext.decode_predictions.json
tensorflow.keras.applications.densenet.decode_predictions,pass,1,deterministic,False,2,2,2,True,,,,info2json/results/tensorflow/tensorflow.keras.applications.densenet.decode_predictions.json
tensorflow.keras.applications.efficientnet.decode_predictions,pass,1,deterministic,False,2,2,2,True,,,,info2json/results/tensorflow/tensorflow.keras.applications.efficientnet.decode_predictions.json
tensorflow.keras.applications.efficientnet_v2.decode_predictions,pass,1,deterministic,False,2,2,2,True,,,,info2json/results/tensorflow/tensorflow.keras.applications.efficientnet_v2.decode_predictions.json
tensorflow.keras.applications.imagenet_utils.decode_predictions,pass,1,deterministic,False,2,2,2,True,,,,info2json/results/tensorflow/tensorflow.keras.applications.imagenet_utils.decode_predictions.json
tensorflow.keras.applications.inception_resnet_v2.decode_predictions,pass,1,deterministic,False,2,2,2,True,,,,info2json/results/tensorflow/tensorflow.keras.applications.inception_resnet_v2.decode_predictions.json
tensorflow.keras.applications.inception_v3.decode_predictions,pass,1,deterministic,False,2,2,2,True,,,,info2json/results/tensorflow/tensorflow.keras.applications.inception_v3.decode_predictions.json
tensorflow.keras.applications.mobilenet.decode_predictions,pass,1,deterministic,False,2,2,2,True,,,,info2json/results/tensorflow/tensorflow.keras.applications.mobilenet.decode_predictions.json
tensorflow.keras.applications.mobilenet_v2.decode_predictions,pass,1,deterministic,False,2,2,2,True,,,,info2json/results/tensorflow/tensorflow.keras.applications.mobilenet_v2.decode_predictions.json
tensorflow.keras.applications.mobilenet_v3.decode_predictions,pass,1,deterministic,False,2,2,2,True,,,,info2json/results/tensorflow/tensorflow.keras.applications.mobilenet_v3.decode_predictions.json
tensorflow.keras.applications.nasnet.decode_predictions,pass,1,deterministic,False,2,2,2,True,,,,info2json/results/tensorflow/tensorflow.keras.applications.nasnet.decode_predictions.json
tensorflow.keras.applications.resnet.decode_predictions,pass,1,deterministic,False,2,2,2,True,,,,info2json/results/tensorflow/tensorflow.keras.applications.resnet.decode_predictions.json
tensorflow.keras.applications.resnet50.decode_predictions,pass,1,deterministic,False,2,2,2,True,,,,info2json/results/tensorflow/tensorflow.keras.applications.resnet50.decode_predictions.json
tensorflow.keras.applications.resnet_v2.decode_predictions,pass,1,deterministic,False,2,2,2,True,,,,info2json/results/tensorflow/tensorflow.keras.applications.resnet_v2.decode_predictions.json
tensorflow.keras.applications.vgg16.decode_predictions,pass,1,deterministic,False,2,2,2,True,,,,info2json/results/tensorflow/tensorflow.keras.applications.vgg16.decode_predictions.json
tensorflow.keras.applications.vgg19.decode_predictions,pass,1,deterministic,False,2,2,2,True,,,,info2json/results/tensorflow/tensorflow.keras.applications.vgg19.decode_predictions.json
tensorflow.keras.applications.xception.decode_predictions,pass,1,deterministic,False,2,2,2,True,,,,info2json/results/tensorflow/tensorflow.keras.applications.xception.decode_predictions.json
tensorflow.keras.datasets.imdb.load_data,pass_with_warnings,1,deterministic,False,8,4,8,False,,required param 'path' missing type | stage3 preview not ready: required param 'path' unresolved: unhandled chosen type: where to cache the data (relative to `~,required param 'path' unresolved: unhandled chosen type: where to cache the data (relative to `~,info2json/results/tensorflow/tensorflow.keras.datasets.imdb.load_data.json
tensorflow.keras.losses.KLD,pass,1,deterministic,False,2,2,2,True,,,,info2json/results/tensorflow/tensorflow.keras.losses.KLD.json
tensorflow.keras.losses.MAE,pass,1,deterministic,False,2,2,2,True,,,,info2json/results/tensorflow/tensorflow.keras.losses.MAE.json
tensorflow.keras.losses.MSE,pass,1,deterministic,False,2,2,2,True,,,,info2json/results/tensorflow/tensorflow.keras.losses.MSE.json
tensorflow.keras.losses.binary_crossentropy,pass_with_warnings,1,deterministic,True,5,4,5,False,,required param 'y_true' missing type | required param 'y_pred' missing type | required param 'axis' missing type | stage3 preview not ready: required param 'y_true' unresolved: unhandled chosen type: ground truth values. shape = `[batch_size | required param 'y_pred' unresolved: unhandled chosen type: the predicted values. shape = `[batch_size | required param 'axis' unresolved: unhandled chosen type: the axis along which the mean is computed. defaults to `-1`.,required param 'y_true' unresolved: unhandled chosen type: ground truth values. shape = `[batch_size | required param 'y_pred' unresolved: unhandled chosen type: the predicted values. shape = `[batch_size | required param 'axis' unresolved: unhandled chosen type: the axis along which the mean is computed. defaults to `-1`.,info2json/results/tensorflow/tensorflow.keras.losses.binary_crossentropy.json
tensorflow.keras.losses.binary_focal_crossentropy,pass_with_warnings,1,deterministic,True,8,4,8,False,,required param 'y_true' missing type | required param 'y_pred' missing type | stage3 preview not ready: required param 'y_true' unresolved: unhandled chosen type: ground truth values | required param 'y_pred' unresolved: unhandled chosen type: the predicted values,required param 'y_true' unresolved: unhandled chosen type: ground truth values | required param 'y_pred' unresolved: unhandled chosen type: the predicted values,info2json/results/tensorflow/tensorflow.keras.losses.binary_focal_crossentropy.json
tensorflow.keras.losses.categorical_crossentropy,pass_with_warnings,1,deterministic,True,5,4,5,False,,required param 'axis' missing type | stage3 preview not ready: required param 'axis' unresolved: unhandled chosen type: defaults to `-1`. the dimension along which the entropy is computed.,required param 'axis' unresolved: unhandled chosen type: defaults to `-1`. the dimension along which the entropy is computed.,info2json/results/tensorflow/tensorflow.keras.losses.categorical_crossentropy.json
tensorflow.keras.losses.categorical_focal_crossentropy,pass_with_warnings,1,deterministic,True,7,6,7,False,,required param 'gamma' missing type | required param 'axis' missing type | stage3 preview not ready: required param 'gamma' unresolved: unhandled chosen type: a focusing parameter | required param 'axis' unresolved: unhandled chosen type: defaults to `-1`. the dimension along which the entropy is computed.,required param 'gamma' unresolved: unhandled chosen type: a focusing parameter | required param 'axis' unresolved: unhandled chosen type: defaults to `-1`. the dimension along which the entropy is computed.,info2json/results/tensorflow/tensorflow.keras.losses.categorical_focal_crossentropy.json
tensorflow.keras.losses.categorical_generalized_cross_entropy,pass_with_warnings,1,deterministic,False,3,3,3,False,,required param 'y_pred' missing type | stage3 preview not ready: required param 'y_pred' unresolved: unhandled chosen type: the predicted class probabilities,required param 'y_pred' unresolved: unhandled chosen type: the predicted class probabilities,info2json/results/tensorflow/tensorflow.keras.losses.categorical_generalized_cross_entropy.json
tensorflow.keras.losses.categorical_hinge,pass_with_warnings,1,deterministic,False,2,2,2,False,,required param 'y_pred' missing type | stage3 preview not ready: required param 'y_pred' unresolved: unhandled chosen type: the predicted values with shape = `[batch_size,required param 'y_pred' unresolved: unhandled chosen type: the predicted values with shape = `[batch_size,info2json/results/tensorflow/tensorflow.keras.losses.categorical_hinge.json
tensorflow.keras.losses.circle,pass,1,deterministic,False,7,2,7,True,,,,info2json/results/tensorflow/tensorflow.keras.losses.circle.json
tensorflow.keras.losses.cosine_similarity,pass,1,deterministic,False,3,2,3,True,,,,info2json/results/tensorflow/tensorflow.keras.losses.cosine_similarity.json
tensorflow.keras.losses.dice,pass,1,deterministic,False,3,2,3,True,,,,info2json/results/tensorflow/tensorflow.keras.losses.dice.json
tensorflow.keras.losses.hinge,pass,1,deterministic,False,2,2,2,True,,,,info2json/results/tensorflow/tensorflow.keras.losses.hinge.json
tensorflow.keras.losses.huber,pass,1,deterministic,True,3,2,3,True,,,,info2json/results/tensorflow/tensorflow.keras.losses.huber.json
