api_full_name,status,classification,rounds,repair_model_used,signature_found,param_count,required_param_count,supported_param_count,stage3_preview_ready,errors,warnings,stage3_preview_reasons,json_path
jax.interpreters.mlir.ir.np.pad,pass,pass,1,deterministic,True,3,2,3,True,,,,info2json/results/jax/jax.interpreters.mlir.ir.np.pad.json
jax.interpreters.mlir.ir.np.partition,pass,pass,1,deterministic,True,5,2,5,True,,,,info2json/results/jax/jax.interpreters.mlir.ir.np.partition.json
jax.interpreters.mlir.ir.np.permute_dims,pass,pass,1,deterministic,True,2,1,2,True,,,,info2json/results/jax/jax.interpreters.mlir.ir.np.permute_dims.json
jax.interpreters.mlir.ir.np.poly,pass_with_warnings,pass_with_warnings,1,deterministic,True,1,0,1,True,,no required params remained after normalization; check doc parsing,,info2json/results/jax/jax.interpreters.mlir.ir.np.poly.json
jax.interpreters.mlir.ir.np.promote_types,pass,pass,1,deterministic,True,2,2,2,True,,,,info2json/results/jax/jax.interpreters.mlir.ir.np.promote_types.json
jax.interpreters.mlir.ir.np.ravel_multi_index,pass,pass,1,deterministic,True,4,2,4,True,,,,info2json/results/jax/jax.interpreters.mlir.ir.np.ravel_multi_index.json
jax.interpreters.mlir.ir.np.result_type,pass,pass,1,deterministic,True,1,1,1,True,,,,info2json/results/jax/jax.interpreters.mlir.ir.np.result_type.json
jax.interpreters.mlir.ir.np.roll,pass,pass,1,deterministic,True,3,2,3,True,,,,info2json/results/jax/jax.interpreters.mlir.ir.np.roll.json
jax.interpreters.mlir.ir.np.roots,pass,pass,1,deterministic,True,1,1,1,True,,,,info2json/results/jax/jax.interpreters.mlir.ir.np.roots.json
jax.interpreters.mlir.ir.np.rot90,pass,pass,1,deterministic,True,3,1,3,True,,,,info2json/results/jax/jax.interpreters.mlir.ir.np.rot90.json
jax.interpreters.mlir.ir.np.row_stack,pass,pass,1,deterministic,True,3,1,3,True,,,,info2json/results/jax/jax.interpreters.mlir.ir.np.row_stack.json
jax.interpreters.mlir.ir.np.select,pass,pass,1,deterministic,True,2,2,2,True,,,,info2json/results/jax/jax.interpreters.mlir.ir.np.select.json
jax.interpreters.mlir.ir.np.setbufsize,pass,pass,1,deterministic,True,1,1,1,True,,,,info2json/results/jax/jax.interpreters.mlir.ir.np.setbufsize.json
jax.interpreters.mlir.ir.np.shape,pass,pass,1,deterministic,True,1,1,1,True,,,,info2json/results/jax/jax.interpreters.mlir.ir.np.shape.json
jax.interpreters.mlir.ir.np.sinc,pass,pass,1,deterministic,True,1,1,1,True,,,,info2json/results/jax/jax.interpreters.mlir.ir.np.sinc.json
jax.interpreters.mlir.ir.np.sort,pass,pass,1,deterministic,True,5,1,5,True,,,,info2json/results/jax/jax.interpreters.mlir.ir.np.sort.json
jax.interpreters.mlir.ir.np.split,pass,pass,1,deterministic,True,3,2,3,True,,,,info2json/results/jax/jax.interpreters.mlir.ir.np.split.json
jax.interpreters.mlir.ir.np.stack,pass,pass,1,deterministic,True,5,1,5,True,,,,info2json/results/jax/jax.interpreters.mlir.ir.np.stack.json
jax.interpreters.mlir.ir.np.take_along_axis,pass,pass,1,deterministic,True,3,2,3,True,,,,info2json/results/jax/jax.interpreters.mlir.ir.np.take_along_axis.json
jax.interpreters.mlir.ir.np.tile,pass,pass,1,deterministic,True,2,1,2,True,,,,info2json/results/jax/jax.interpreters.mlir.ir.np.tile.json
jax.interpreters.mlir.ir.np.transpose,pass,pass,1,deterministic,True,2,1,2,True,,,,info2json/results/jax/jax.interpreters.mlir.ir.np.transpose.json
jax.interpreters.mlir.ir.np.tri,pass,pass,1,deterministic,True,5,1,5,True,,,,info2json/results/jax/jax.interpreters.mlir.ir.np.tri.json
jax.interpreters.mlir.ir.np.tril,pass,pass,1,deterministic,True,2,1,2,True,,,,info2json/results/jax/jax.interpreters.mlir.ir.np.tril.json
jax.interpreters.mlir.ir.np.tril_indices,pass,pass,1,deterministic,True,3,1,3,True,,,,info2json/results/jax/jax.interpreters.mlir.ir.np.tril_indices.json
jax.interpreters.mlir.ir.np.trim_zeros,pass,pass,1,deterministic,True,3,1,3,True,,,,info2json/results/jax/jax.interpreters.mlir.ir.np.trim_zeros.json
jax.interpreters.mlir.ir.np.triu_indices,pass,pass,1,deterministic,True,3,1,3,True,,,,info2json/results/jax/jax.interpreters.mlir.ir.np.triu_indices.json
jax.interpreters.mlir.ir.np.unique_all,pass,pass,1,deterministic,True,1,1,1,True,,,,info2json/results/jax/jax.interpreters.mlir.ir.np.unique_all.json
jax.interpreters.mlir.ir.np.unique_counts,pass,pass,1,deterministic,True,1,1,1,True,,,,info2json/results/jax/jax.interpreters.mlir.ir.np.unique_counts.json
jax.interpreters.mlir.ir.np.unique_inverse,pass,pass,1,deterministic,True,1,1,1,True,,,,info2json/results/jax/jax.interpreters.mlir.ir.np.unique_inverse.json
jax.interpreters.mlir.ir.np.unique_values,pass,pass,1,deterministic,True,1,1,1,True,,,,info2json/results/jax/jax.interpreters.mlir.ir.np.unique_values.json
jax.interpreters.mlir.ir.np.unpackbits,pass,pass,1,deterministic,True,4,1,4,True,,,,info2json/results/jax/jax.interpreters.mlir.ir.np.unpackbits.json
jax.interpreters.mlir.ir.np.unstack,pass,pass,1,deterministic,True,2,1,2,True,,,,info2json/results/jax/jax.interpreters.mlir.ir.np.unstack.json
jax.interpreters.mlir.ir.np.unwrap,pass,pass,1,deterministic,True,4,1,4,True,,,,info2json/results/jax/jax.interpreters.mlir.ir.np.unwrap.json
jax.interpreters.mlir.ir.np.vstack,pass,pass,1,deterministic,True,3,1,3,True,,,,info2json/results/jax/jax.interpreters.mlir.ir.np.vstack.json
jax.interpreters.mlir.ir.np.where,pass,pass,1,deterministic,True,3,1,3,True,,,,info2json/results/jax/jax.interpreters.mlir.ir.np.where.json
jax.interpreters.mlir.ir.np.zeros,pass,pass,1,deterministic,True,5,1,5,True,,,,info2json/results/jax/jax.interpreters.mlir.ir.np.zeros.json
jax.interpreters.mlir.ir.np.zeros_like,pass,pass,1,deterministic,True,6,1,6,True,,,,info2json/results/jax/jax.interpreters.mlir.ir.np.zeros_like.json
jax.lax.abs,pass,pass,1,deterministic,True,1,1,1,True,,,,info2json/results/jax/jax.lax.abs.json
jax.lax.acos,pass,pass,1,deterministic,True,1,1,1,True,,,,info2json/results/jax/jax.lax.acos.json
